,CORD,#,MFG,,,MFG. DATE,PROD,ACTUAL,PROD,END,Backup,Preload,END,FINAL,DATE,,
,SERIAL #,WRAPS,BY,LOT#,BOX#,,LENGTH,LENGTH,LOAD,LOAD,Length (ft),Length (ft),LENGTH,LENGTH,MFG,,
,6547,5516,RW,175466,29,23-Feb,55',55',500,360,220,240,"64'4""",,24-Apr,,
,6548,5522,RW,175466,47 29,23-Feb,55',55',680,510,220,240,"64'2""",,24-Apr,,
,6549,5528,RW,175466,47,23-Feb,55',55',830,660,220,240,"63'9""",,24-Apr,,
,6550,5534,RW,175466,38 47,23-Feb,55',55',1030,830,220,240,"63'10""",,24-Apr,,
,6551,4820,RW,149491,19,2015,48',48',650,600,192,206,"55'8""",-,24-May,,
,6552,4822,RW,175466,36,23-Feb,48',48',660,530,192,206,"56'5""",-,24-Aug,,
,6553,4828,RW,175466,34 25,23-Feb,48',48',820,660,192,206,56',-,24-May,,
,6554,4824,RW,149491,21 19,2015,48',48',820,720,192,206,"55'8""",-,24-May,,
,6555,4824,RW,149491,21,2015,48',48',880,750,192,206,"55'4""",-,24-May,,
,6556,4834,RW,175466,34,23-Feb,48',48',1000,810,192,206,"55'7""",-,24-May,,
,6557,4834,RW,180432,5,24-Jul,48',48',920,800,192,206,"55'5""",-,24-Aug,,
,6558,ES 75 lbs,RW,175466,33,23-Feb,31.5,29',2090,1750,100',106',"32'8""","31'4""",24-May,,
,6559,ES 75 lbs,RW,175466,26,23-Feb,31.5,29',2050,1730,100',106',"33'4""","31'8""",24-May,,
,6560,ES 75 lbs,RW,175466,24,23-Feb,31.5,29',2070,1730,100',106',"33'1""","31'6""",24-May,,
,6561,ES 75 lbs,RW,175466,22,23-Feb,31.5,29',2070,1750,100',106',33',"31'4""",24-May,,
,6562,2922,RW,175466,25,23-Feb,29',29',670,530,116,124,"33'2""","31'2""",24-May,,
,6563,2928,RW,175466,25,23-Feb,29',29',850,660,116,124,"33'9""","31'6""",24-May,,
,6564,5542,RW,175466,39,23-Feb,55',55',1320,1050,220',240',64',,24-Jun,,
,6565,2422,RW,175466,25,23-Feb,24',24',620,510,96,103,"27'8""","25'6""",24-Jun,,
,6566,2428,RW,175466,25,23-Feb,24',24',830,670,96,103,"27'6""","25'6""",24-Jun,,
,6567,2434,RW,175466,31,23-Feb,24',24',980,820,96,103,"27'7""","25'5""",24-Jun,,
,6568,2442,RW,175466,20,23-Feb,24',24',1210,1020,96,103,"27'4""","25'7""",24-Jun,,
,6569,2442,RW,175466,21,23-Feb,24',24',1220,1000,96,103,"27'5""","25'7""",24-Jun,,
,6570,2454,RW,175466,20,23-Feb,24',24',1540,1250,96,103,"27'5""","25'4""",24-Jun,,
,6571,2454,RW,175466,21,23-Feb,24',24',1550,1250,96,103,"27'4""","25'5""",24-Jun,,
,6572,2030,RW,175466,19,23-Feb,20',20',550,430,57,86,"22'2""","20'10""",24-Jun,,
