Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
6/1/2025,,131,32.0,1,AF,0.0,65524822
6/1/2025,B/2,129,36.0,-3,AF,0.0,65524822
6/1/2025,,147,12.0,,BF,,65524822
6/1/2025,,161,20.0,-4,AF,3.0,65524822
6/1/2025,,146,24.0,,BF,,65524822
6/1/2025,B,140,12.0,,AF,,65524822
6/1/2025,B,147,27.0,1,AF,3.0,65524822
6/1/2025,B,140,6.0,,AF,,65524822
6/1/2025,,135,24.0,,BF,,65524822
6/1/2025,B,143,6.0,,AF,,65524822
6/1/2025,,147,27.0,,AF,,65524822
6/1/2025,B,150,12.0,,AF,,65524822
6/1/2025,,149,16.0,,AF,,65524822
6/1/2025,,134,24.0,,BF,,65524822
6/1/2025,B,143,24.0,,BF,,65524822
6/2/2025,F,141,30.0,-4,AF,1.0,65524822
6/2/2025,,138,12.0,,AF,,65524822
6/3/2025,F,140,29.0,-1,AF,1.0,65524822
6/3/2025,,134,28.0,1,AF,0.0,65524822
6/3/2025,,131,31.0,-1,AF,1.0,65524822
6/3/2025,B,116,24.0,,AF,,65524822
6/4/2025,F,140,24.0,,BF,,65524822
6/4/2025,B,154,18.0,,AF,,65524822
6/4/2025,B,156,6.0,,BF,,65524822
6/4/2025,,140,26.0,-1,AF,0.0,65524822
6/4/2025,,135,12.0,,AF,,65524822
6/5/2025,F,154,9.0,,BF,,65524822
6/5/2025,,127,36.0,1,BF,2.0,65524822
6/6/2025,F,124,15.0,,BF,,65524822
6/6/2025,B,157,24.0,-2,AF,0.0,65524822
6/6/2025,,157,21.0,-3,AF,1.0,65524822
6/6/2025,,154,22.0,-2,AF,0.0,65524822
6/6/2025,,156,22.0,,AF,,65524822
6/6/2025,B,121,12.0,,AF,0.0,65524822
6/7/2025,F,123,6.0,,AF,,65524822
6/7/2025,B,167,17.0,-1,AF,0.0,65524822
6/7/2025,,156,6.0,,AF,,65524822
6/7/2025,,140,12.0,,AF,,65524822
6/7/2025,B,156,24.0,-5,AF,0.0,65524822
6/7/2025,,146,25.0,-4,AF,0.0,65524822
6/7/2025,,143,12.0,,AF,,65524822
6/7/2025,,138,27.0,3,AF,0.0,65524822
6/7/2025,,138,12.0,,AF,,65524822
6/7/2025,,133,29.0,-3,AF,0.0,65524822
6/7/2025,B,161,20.0,0,AF,0.0,65524822
6/7/2025,,152,23.0,-2,AF,0.0,65524822
6/7/2025,,146,25.0,0,AF,1.0,65524822
6/7/2025,,144,18.0,,AF,,65524822
6/7/2025,,126,32.0,-4,AF,0.0,65524822
6/7/2025,,138,28.0,,AF,,65524822
6/7/2025,,121,21.0,,BF,,65524822
6/7/2025,B,162,23.0,,AF,,65524822
6/7/2025,,151,,,AF,,65524822
6/7/2025,B,159,26.0,-5,AF,0.0,65524822
6/7/2025,,152,,,AF,,65524822
6/7/2025,B/2,143,12.0,,AF,,65524822
6/7/2025,,121,30.0,4,AF,0.0,65524822
6/7/2025,B,142,36.0,-3,BF,,65524822
6/8/2025,F,174,17.0,2,AF,,65524822
6/8/2025,,156,21.0,-5,AF,0.0,65524822
6/8/2025,,131,25.0,5,AF,,65524822
6/8/2025,B,134,25.0,,BF,,65524822
6/8/2025,,125,30.0,,AF,,65524822
6/8/2025,,127,12.0,,AF,,65524822
