Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
5/28/2025,,173.0,23.0,2,AF,4,65934828
5/29/2025,F,191.0,21.0,-4,AF,0,65934828
5/29/2025,,179.0,20.0,-1,AF,0,65934828
5/29/2025,,173.0,24.0,D0,AF,4,65934828
5/29/2025,B,173.0,27.0,3,BF,,65934828
5/29/2025,,177.0,21.0,-1,AF,,65934828
5/29/2025,B,160.0,12.0,,AF,,65934828
5/29/2025,,203.0,6.0,,AF,,65934828
May-25,B,222.0,6.0,,BB,,65934828
May-25,,191.0,18.0,3,BF,,65934828
May-25,B,187.0,12.0,,AF,,65934828
May-25,,179.0,12.0,,BF,,65934828
5/31/2025,F,209.0,6.0,,AF,,65934828
5/31/2025,,193.0,18.0,-3,AF,3,65934828
5/31/2025,B,196.0,9.0,,AF,,65934828
5/31/2025,,178.0,24.0,-4,AF,0,65934828
5/31/2025,,169.0,15.0,,AF,,65934828
5/31/2025,B,206.0,14.0,1,AF,1,65934828
5/31/2025,,205.0,14.0,-5,AF,1,65934828
5/31/2025,,188.0,9.0,,AF,,65934828
5/31/2025,B/2,161.0,26.0,1,AF,0,65934828
5/31/2025,B/2,194.0,6.0,,AF,,65934828
5/31/2025,,185.0,9.0,,AF,,65934828
5/31/2025,,186.0,9.0,,AF,,65934828
5/31/2025,B,182.0,9.0,,AF,,65934828
5/31/2025,,176.0,9.0,,AF,,65934828
5/31/2025,,175.0,22.0,W0,AF,0,65934828
5/31/2025,B,205.0,6.0,,AF,,65934828
5/31/2025,,196.0,14.0,-2,AF,0,65934828
5/31/2025,,177.0,9.0,,AB,,65934828
5/31/2025,,175.0,9.0,,AF,0,65934828
5/31/2025,B,206.0,16.0,-5,AF,0,65934828
5/31/2025,,197.0,6.0,,BF,,65934828
5/31/2025,B ,208.0,6.0,,AF,,65934828
5/31/2025,,177.0,6.0,,AF,,65934828
5/31/2025,,216.0,6.0,1,AF,0,65934828
6/1/2025,F,200.0,17.0,W0,AF,2,65934828
6/1/2025,B,212.0,6.0,,AF,,65934828
6/1/2025,,183.0,6.0,,AF,,65934828
6/1/2025,,182.0,6.0,,AF,,65934828
6/1/2025,,179.0,18.0,1,AF,3,65934828
6/1/2025,,174.0,21.0,W0,AF,1,65934828
6/1/2025,,175.0,12.0,,AF,,65934828
6/1/2025,,173.0,21.0,1,AF,1,65934828
6/1/2025,,168.0,25.0,-5,AF,0,65934828
6/1/2025,B,180.0,6.0,,AF,,65934828
6/1/2025,,208.0,6.0,,AF,,65934828
6/1/2025,,204.0,12.0,,AF,1,65934828
6/1/2025,,191.0,6.0,,AF,1,65934828
6/1/2025,B/2,212.0,11.0,-3,AF,1,65934828
6/1/2025,,174.0,12.0,,BB,,65934828
6/1/2025,,165.0,22.0,2,AF,0,65934828
6/1/2025,B,190.0,6.0,,AF,,65934828
6/1/2025,,184.0,19.0,-4,AF,1,65934828
6/1/2025,,177.0,21.0,-3,AF,1,65934828
6/1/2025,,194.0,6.0,,AF,,65934828
6/1/2025,,181.0,6.0,,AF,,65934828
6/1/2025,B,194.0,6.0,,AF,,65934828
6/1/2025,,186.0,6.0,,AF,,65934828
6/1/2025,B,193.0,6.0,,AB,,65934828
6/1/2025,,181.0,12.0,,BF,,65934828
6/1/2025,,176.0,12.0,,AF,,65934828
6/1/2025,,162.0,21.0,,AF,,65934828
6/1/2025,B,182.0,6.0,,AF,,65934828
6/1/2025,,176.0,12.0,,AF,,65934828
6/1/2025,,172.0,12.0,,AF,,65934828
6/1/2025,B,192.0,6.0,,AF,,65934828
6/2/2025,B,197.0,17.0,2,AF,2,65934828
6/2/2025,B,197.0,17.0,-2,AF,2,65934828
6/2/2025,,192.0,14.0,D0,AF,1,65934828
6/2/2025,,171.0,22.0,D0,AF,3,65934828
6/2/2025,,159.0,24.0,,AF,,65934828
6/2/2025,B,208.0,11.0,W0,AF,1,65934828
6/2/2025,,202.0,6.0,,AF,,65934828
6/2/2025,,194.0,12.0,,AF,,65934828
6/3/2025,F,182.0,25.0,-4,AF,1,65934828
6/3/2025,,162.0,25.0,2,AF,3,65934828
6/3/2025,B ,197.0,6.0,,AF,,65934828
6/4/2025,F,197.0,12.0,,BF,,65934828
6/4/2025,B,197.0,9.0,,BF,,65934828
6/4/2025,B,197.0,12.0,,BF,,65934828
6/4/2025,B,194.0,18.0,-3,AF,0,65934828
6/4/2025,,167.0,12.0,,BF,,65934828
6/5/2025,F,193.0,19.0,-1,AF,1,65934828
6/5/2025,B,172.0,24.0,,BF,,65934828
6/6/2025,B,194.0,18.0,-3,AF,0,65934828
6/6/2025,,169.0,25.0,-2,AF,0,65934828
6/6/2025,B,194.0,18.0,-3,AF,0,65934828
6/6/2025,,185.0,17.0,D0,AF,0,65934828
6/6/2025,,170.0,25.0,-3,AF,0,65934828
6/6/2025,B,195.0,18.0,-3,AF,3,65934828
6/6/2025,B,189.0,6.0,,BF,,65934828
6/6/2025,,188.0,17.0,1,AF,6,65934828
6/6/2025,,176.0,12.0,,BF,,65934828
6/6/2025,,170.0,24.0,-3,AF,1,65934828
6/7/2025,F,208.0,13.0,1,AF,0,65934828
6/7/2025,,188.0,17.0,-1,AF,0,65934828
6/7/2025,B,197.0,16.0,-1,AF,1,65934828
6/7/2025,,175.0,22.0,-4,AF,0,65934828
6/7/2025,B,202.0,15.0,-3,AF,0,65934828
6/7/2025,B/2,191.0,15.0,1,AF,2,65934828
6/7/2025,,185.0,17.0,D0,AF,1,65934828
6/7/2025,,185.0,18.0,-1,AF,1,65934828
6/7/2025,,178.0,21.0,-3,AF,1,65934828
6/7/2025,,179.0,21.0,-4,AF,0,65934828
6/7/2025,,201.0,11.0,-2,AB,2,65934828
6/7/2025,B,207.0,12.0,-1,AF,0,65934828
6/7/2025,,205.0,12.0,-3,AF,2,65934828
